Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
26-07-2022;00:00:00;27-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,725;kWh;Gevalideerd
26-07-2022;00:00:00;27-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
26-07-2022;00:00:00;27-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
27-07-2022;00:00:00;28-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;2,577;kWh;Gevalideerd
27-07-2022;00:00:00;28-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,631;kWh;Gevalideerd
27-07-2022;00:00:00;28-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
27-07-2022;00:00:00;28-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
28-07-2022;00:00:00;29-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;2,825;kWh;Gevalideerd
28-07-2022;00:00:00;29-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,728;kWh;Gevalideerd
28-07-2022;00:00:00;29-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
28-07-2022;00:00:00;29-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
29-07-2022;00:00:00;30-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;1,878;kWh;Gevalideerd
29-07-2022;00:00:00;30-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,728;kWh;Gevalideerd
29-07-2022;00:00:00;30-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
29-07-2022;00:00:00;30-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
