Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
17-05-2024;06:45:00;17-05-2024;07:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;07:00:00;17-05-2024;07:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,020;kWh;Gevalideerd
17-05-2024;07:00:00;17-05-2024;07:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;07:15:00;17-05-2024;07:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,022;kWh;Gevalideerd
17-05-2024;07:15:00;17-05-2024;07:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;07:30:00;17-05-2024;07:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,028;kWh;Gevalideerd
17-05-2024;07:30:00;17-05-2024;07:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;07:45:00;17-05-2024;08:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,029;kWh;Gevalideerd
17-05-2024;07:45:00;17-05-2024;08:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;08:00:00;17-05-2024;08:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,023;kWh;Gevalideerd
17-05-2024;08:00:00;17-05-2024;08:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;08:15:00;17-05-2024;08:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,019;kWh;Gevalideerd
17-05-2024;08:15:00;17-05-2024;08:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;08:30:00;17-05-2024;08:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,047;kWh;Gevalideerd
17-05-2024;08:30:00;17-05-2024;08:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;08:45:00;17-05-2024;09:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,032;kWh;Gevalideerd
17-05-2024;08:45:00;17-05-2024;09:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;09:00:00;17-05-2024;09:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,033;kWh;Gevalideerd
17-05-2024;09:00:00;17-05-2024;09:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
