Van Datum,Van Tijdstip,Tot Datum,Tot Tijdstip,Meter,Metertype,Register,Volume,Eenheid,Validatiestatus
08-07-2024,20:15:00,08-07-2024,20:30:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,20:30:00,08-07-2024,20:45:00,1SAG1100386949,Digitale Meter,Afname Dag,31,kWh,Gevalideerd
08-07-2024,20:30:00,08-07-2024,20:45:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,20:45:00,08-07-2024,21:00:00,1SAG1100386949,Digitale Meter,Afname Dag,20,kWh,Gevalideerd
08-07-2024,20:45:00,08-07-2024,21:00:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,21:00:00,08-07-2024,21:15:00,1SAG1100386949,Digitale Meter,Afname Dag,28,kWh,Gevalideerd
08-07-2024,21:00:00,08-07-2024,21:15:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,21:15:00,08-07-2024,21:30:00,1SAG1100386949,Digitale Meter,Afname Dag,33,kWh,Gevalideerd
08-07-2024,21:15:00,08-07-2024,21:30:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,21:30:00,08-07-2024,21:45:00,1SAG1100386949,Digitale Meter,Afname Dag,21,kWh,Gevalideerd
08-07-2024,21:30:00,08-07-2024,21:45:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,21:45:00,08-07-2024,22:00:00,1SAG1100386949,Digitale Meter,Afname Dag,120,kWh,Gevalideerd
08-07-2024,21:45:00,08-07-2024,22:00:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,22:00:00,08-07-2024,22:15:00,1SAG1100386949,Digitale Meter,Afname Nacht,25,kWh,Gevalideerd
